0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,3,0,0,0,0,0,3,53972506.18695759,0.0,101748643.49608201,0.017386284064351797,121498552.55179039,0.1309090576775635,9518834.428709911,0.0036589047658209233,57938440.80934827,0.018625499387462267,205800000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,253592265.10531533,0.04176932977581429,102519116.99124226,0.016293183138011858,43878096.290305056,0.0,8393750.24366399,0.00013509734871195556,20079972.088721406,0.004890861520355465,121200000.0,2854.1201414445336
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,7,1,0,0,0,0,0,220914656.35990465,0.0074334527069301985,97137877.54807635,0.008226135797139829,157918623.98305097,0.0197803190610964,6320800.309666242,0.0,54498267.751877554,0.004409851213093647,0.0,11956.481364561598
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,254137907.43146724,0.1081609536390205,26328886.486256573,0.018512735504986475,21477203.576462585,0.0015577736801855912,16250011.441711877,0.0027563073299465813,126412664.71336137,0.08584929266289942,61400000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,3,3,0,1,0,1,3,1,248581465.1243893,0.012979314436682458,73365351.77987522,0.006185952922032143,82628217.87548926,0.005054653146992946,6851635.321737349,2.2516224785325925e-05,85064701.79229271,0.0,121200000.0,6154.25581584413
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,7,32694901.094161935,0.0,46321877.89795314,0.004949969097971798,20299287.62732069,0.0,13688890.983035404,0.00029369950841829344,71780428.31210794,0.002793824908119341,369700000.0,2807.6184936189575
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,3,6,0,7,3,1,7,0,0,2,3,0,0,121644599.3504275,0.0,155736187.608082,0.0,85794511.8959807,0.0,26797006.099424165,0.007666929600175275,30351526.042379983,0.0,115300000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,4,0,0,0,0,2,0,2,0,0,0,5,263411491.52410418,0.0,53358573.6002109,0.0,177719806.67613488,0.21020367012196028,14040408.523117153,0.002432585911487808,70449058.74929336,0.022766439111896665,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,7,1,1,0,3,0,0,150992927.69646072,0.05408047681951025,75340784.2126984,0.026833482124981392,158479070.71564087,0.16620092621052385,12857587.774250694,0.0,30351526.042379983,0.0,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,3,7,7,1,9,1,1,0,0,68139002.95605196,0.0,46563332.129997894,0.012001486205194763,109936542.7317845,0.0,33929821.8077647,0.0,25037214.086173728,0.0,248500000.0,918.1649244082324
